code,numeric_code,our_name,yahoo_name,similarity,category,normalized_ours,normalized_yahoo
PPB,4065,"PPB Group Berhad","PPB",43,MISMATCH,"PPB BHD","PPB"
PPJACK,0242,"Pappajack Berhad","PPJACK",46,MISMATCH,"PAPPAJACK BHD","PPJACK"
PREGEN,0348,"Pregen Berhad","CLITE",10,MISMATCH,"PREGEN BHD","CLITE"
PRESTAR,9873,"Prestar Resources Berhad","PRESTAR",33,MISMATCH,"PRESTAR RESOURCES BHD","PRESTAR"
PRIVA,0123,"Privasia Technology Berhad","PRIVA",22,MISMATCH,"PRIVASIA TECHNOLOGY BHD","PRIVA"
PRKCORP,8346,"Perak Corporation","PRKCORP",70,MISMATCH,"PERAK CORP","PRKCORP"
PTARAS,9598,"Pintaras Jaya Berhad","PTARAS",35,MISMATCH,"PINTARAS JAYA BHD","PTARAS"
PTRANS,0186,"Perak Transit Berhad","PTRANS",35,MISMATCH,"PERAK TRANSIT BHD","PTRANS"
PTRB,0260,"PT Resources","PTRB",25,MISMATCH,"PT RESOURCES","PTRB"
PUC,0007,"PUC Berhad","PUC",43,MISMATCH,"PUC BHD","PUC"
PWF,7134,"PWF Corporation Bhd","PWF",25,MISMATCH,"PWF CORP BHD","PWF"
PWROOT,7237,"Power Root Berhad","PWROOT",43,MISMATCH,"POWER ROOT BHD","PWROOT"
PWRWELL,0217,"Powerwell Holdings Berhad","PWRWELL",54,MISMATCH,"POWERWELL BHD","PWRWELL"
QES,0196,"QES Group Berhad","QES",43,MISMATCH,"QES BHD","QES"
QL,7084,"QL Resources Berhad","QL",13,MISMATCH,"QL RESOURCES BHD","QL"
QUALITY,7544,"Quality Concrete","QUALITY",44,MISMATCH,"QUALITY CONCRETE","QUALITY"
RADIUM,0228,"Radium Development Berhad","HPPHB",9,MISMATCH,"RADIUM DEVELOPMENT BHD","HPPHB"
RAMSSOL,0220,"Ramssol Group Berhad","OVH",18,MISMATCH,"RAMSSOL BHD","OVH"
RAMSSOL2,0236,"Ramssol Group Berhad","RAMSSOL",64,MISMATCH,"RAMSSOL BHD","RAMSSOL"
RANHILL,5272,"Ranhill Utilities Berhad","RANHILL",33,MISMATCH,"RANHILL UTILITIES BHD","RANHILL"
RCECAP,9296,"RCE Capital Berhad","RCECAP",40,MISMATCH,"RCE CAPITAL BHD","RCECAP"
REACHTEN,5332,"Reach Ten Holdings Berhad","REACHTEN",62,MISMATCH,"REACH TEN BHD","REACHTEN"
REDONE,0357,"Red One Berhad","OHM",18,MISMATCH,"RED ONE BHD","OHM"
REDTONE,0032,"REDtone Digital Berhad","REDTONE",37,MISMATCH,"REDTONE DIGITAL BHD","REDTONE"
